int vetor3[] = {427,	146,	136,	276,	414,	126,	497,	339,	489,	268,
 92,	154,	380,	367,	261,	 89,	214,	210,	144,	 91,
298,	192,	326,	  4,	134,	 68,	 19,	320,	376,	446,
465,	 11,	221,	379,	218,	217,	125,	486,	308,	279,
365,	175,	 39,	454,	388,	248,	229,	 31,	 27,	223,
164,	369,	297,	 98,	387,	117,	473,	332,	 82,	484,
 53,	460,	120,	271,	176,	244,	256,	 23,	121,	159,
 61,	 74,	 46,	309,	303,	 77,	147,	330,	300,	310,
360,	168,	107,	458,	 55,	224,	431,	305,	440,	264,
 34,	277,	466,	424,	299,	 87,	160,	128,	463,	205,
314,	293,	124,	152,	172,	231,	110,	226,	 40,	112,
259,	 52,	 22,	487,	462,	263,	227,	386,	 62,	313,
467,	422,	 95,	436,	403,	228,	302,	474,	257,	199,
211,	 28,	311,	469,	481,	362,	491,	468,	123,	453,
350,	338,	292,	162,	135,	399,	 70,	198,	499,	177,
488,	165,	171,	193,	482,	167,	173,	343,	158,	140,
370,	315,	447,	477,	252,	375,	111,	150,	181,	347,
382,	478,	346,	318,	100,	319,	470,	184,	122,	324,
278,	194,	 93,	178,	355,	 69,	429,	230,	180,	 79,
407,	426,	288,	272,	400,	492,	 78,	 48,	  3,	138,
113,	290,	374,	219,	104,	 10,	337,	494,	197,	166,
 83,	196,	475,	295,	207,	 67,	204,	246,	142,	434,
 36,	 16,	254,	119,	208,	 51,	129,	 45,	274,	267,
384,	359,	  9,	153,	216,	450,	282,	 73,	441,	215,
419,	476,	348,	358,	281,	402,	 54,	321,	 24,	170,
342,	363,	179,	 15,	395,	409,	 38,	349,	 81,	325,
329,	 88,	335,	304,	389,	206,	109,	209,	 71,	 57,
490,	451,	127,	344,	289,	242,	 17,	187,	405,	 60,
284,	  2,	397,	381,	371,	437,	 18,	361,	139,	 44,
133,	232,	417,	 21,	183,	155,	 43,	479,	356,	 58,
340,	392,	 33,	461,	472,	262,	143,	480,	312,	 94,
307,	190,	 56,	233,	 35,	291,	364,	151,	266,	250,
145,	448,	485,	456,	265,	 80,	236,	383,	 13,	249,
411,	336,	240,	 86,	186,	255,	213,	  6,	353,	328,
280,	131,	444,	 14,	412,	391,	430,	  8,	  5,	130,
354,	327,	406,	235,	156,	149,	416,	 25,	141,	189,
418,	220,	442,	157,	 12,	 49,	238,	 32,	188,	137,
483,	306,	 75,	 66,	148,	174,	341,	296,	203,	445,
351,	286,	234,	  1,	331,	 42,	433,	253,	114,	439,
443,	273,	169,	495,	428,	118,	385,	438,	377,	457,
398,	105,	185,	103,	 96,	270,	285,	455,	241,	201,
108,	464,	372,	106,	390,	182,	269,	334,	 65,	 76,
413,	420,	 99,	132,	 50,	237,	345,	500,	116,	368,
322,	247,	163,	195,	 72,	496,	323,	425,	432,	373,
287,	243,	396,	410,	251,	275,	245,	202,	404,	493,
393,	 41,	317,	408,	394,	283,	 97,	 20,	 47,	239,
352,	191,	 37,	212,	459,	161,	115,	 85,	 59,	258,
401,	421,	 29,	260,	333,	415,	452,	 64,	222,	301,
449,	225,	 90,	366,	 30,	316,	357,	 26,	102,	 84,
423,	200,	378,	498,	294,	435,	 63,	  7,	101,	471};
