int vetor2[] = {380,	297,	162,	407,	179,	171,	111,	239,	432,	233,
317,	180,	353,	 63,	282,	 19,	381,	193,	178,	470,
144,	433,	420,	226,	140,	102,	115,	287,	 40,	234,
468,	419,	 30,	129,	326,	209,	300,	437,	447,	231,
169,	264,	411,	 22,	192,	207,	385,	217,	177,	 28,
150,	 96,	254,	290,	198,	369,	 76,	237,	103,	 43,
155,	133,	172,	481,	341,	471,	417,	288,	201,	 86,
 51,	112,	107,	377,	303,	146,	 83,	188,	363,	260,
215,	 12,	355,	469,	302,	 53,	338,	289,	440,	444,
 73,	 90,	424,	414,	 60,	261,	426,	251,	372,	 32,
127,	175,	210,	362,	 41,	 77,	324,	 45,	354,	376,
383,	230,	165,	322,	148,	109,	395,	238,	 33,	308,
298,	373,	  8,	 58,	259,	430,	330,	386,	104,	  7,
 95,	466,	 47,	 64,	 42,	 99,	387,	 87,	453,	263,
182,	427,	291,	 36,	185,	 68,	493,	365,	500,	423,
352,	 67,	456,	 74,	421,	120,	462,	219,	189,	 49,
451,	 17,	378,	307,	413,	492,	249,	484,	114,	158,
242,	225,	343,	124,	418,	136,	274,	 65,	159,	442,
 97,	340,	 88,	 89,	335,	 71,	202,	255,	 55,	296,
137,	181,	467,	434,	305,	351,	455,	487,	345,	228,
293,	409,	452,	113,	206,	271,	 82,	295,	325,	319,
121,	443,	277,	138,	337,	 92,	320,	406,	336,	357,
449,	145,	149,	479,	245,	186,	167,	278,	273,	415,
379,	318,	463,	483,	147,	125,	310,	164,	142,	 79,
334,	118,	123,	412,	  1,	184,	331,	281,	313,	405
};
